Year,Carriers,Total Number,Average Departure Delay (minutes),Average Taxi-Out Time (minutes),Average Scheduled Departure to Take-off (minutes),Average Arrival Delay (minutes),Average Airborne Time (minutes),Average Taxi-In Time (minutes),Total Number Cancelled,Percent Flights Cancelled,Total Number Diverted,Percent Flights Diverted,Diverted Flights Reaching Scheduled Destination,Diverted Flights (mins),Cancelled Flights (mins),Carrier (avg. mins),Weather(avg. mins),National Aviation System(avg. mins),Security(avg. mins),Late Aircraft Arrival(avg. mins)
2017,Spirit Airlines,"157,277",10.18,15.06,6.34,5.6,134.65,9.21,"5,143",3.27,210,0.13,210,25.71,35.46,14.51,1.51,34.21,0.18,18.91
2017,United Airlines,"586,061",9.48,18.59,15.59,1.73,154.79,8.02,"5,962",1.01,"1,311",0.22,"1,311",46.16,40.4,17.21,2.81,23.34,0,26.1
2016,Alaska Airlines,177751,0.49,15.4,5.07,-2.07,161.06,6.73,855,0.48,456,0.25,456,17.51,17.43,13.72,1.74,16.35,0.23,15.39
2016,Allegiant Airlines,N`A,N`A,N`A,N`A,N`A,N`A,N`A,N`A,N`A,N`A,N`A,N`A,N`A,N`A,N`A,N`A,N`A,N`A,N`A
2016,American Airlines,916801,8.93,18.45,16.51,5.09,137.19,9.16,10879,1.18,2218,0.24,2218,62.48,36.17,20.71,3.14,15.06,0.12,22
2016,Delta Airlines,924585,7.93,17.42,16.74,-0.55,115.66,7,4116,0.44,1734,0.18,1734,30.66,37.6,28.27,4.14,15.64,0.04,20.43
2016,Frontier Airlines,"95,381",13.01,16.04,-14.08,7.78,138.54,10.99,"1,179",1.23,150,0.15,150,41.24,34.91,17.4,1.21,19.54,0,32.56
2016,Hawaiian Airlines,"76,994",-0.03,11.22,10.27,-0.04,85.88,6.94,118,0.15,85,0.11,85,25.29,20.31,25.52,1.61,1.14,0.11,12.96
2016,JetBlue Airlines,"283,260",13.03,17.1,-5.84,8.03,144.38,6.51,"3,797",1.34,666,0.23,666,24.69,36.72,19.71,2.12,15.36,0.18,26.89
2016,Southwest Airlines,"1,302,971",9.08,12.04,18.32,3.9,103.92,6.21,"15,877",1.21,"3,067",0.23,"3,067",20.51,25.51,14.15,2.22,8.21,0.08,25.43
2016,Spirit Airlines,"138,608",12.37,14.83,7.86,9.33,131.38,9.27,"2,650",1.91,199,0.14,199,29.09,34.38,10.04,0.91,37.89,0.11,14.54
2016,United Airlines,"546,503",11.37,17.18,14.49,1.75,158.71,8.56,"5,470",1,"1,409",0.25,"1,409",49.17,38.03,19.99,3.35,17.82,0.02,27.26
2015,Alaska Airlines,172984,1.78,15.09,6.01,-0.99,157.87,6.4,672,0.38,413,0.23,413,17.83,17.15,15.54,1.73,13.48,0.26,17.05
2015,Allegiant Airlines,N`A,N`A,N`A,N`A,N`A,N`A,N`A,N`A,N`A,N`A,N`A,N`A,N`A,N`A,N`A,N`A,N`A,N`A,N`A
2015,American Airlines,728398,8.9,17.76,17.15,3.44,139.81,8.87,10935,1.5,2133,0.29,2133,64.96,34.11,21.18,3.57,13.49,0.12,21.74
2015,Delta Airlines,877590,7.36,17.6,18.19,0.17,115.69,7.2,3824,0.43,1783,0.2,1783,29.42,34.29,22.95,5.1,15.06,0.03,18.08
2015,Frontier Airlines,"91,076",13.31,15.67,-4.51,12.45,130.25,9.15,589,0.64,158,0.17,158,41.37,34.12,14.72,0.91,24.66,0,26.88
2015,Hawaiian Airlines,"76,487",0.47,10.95,10.56,2,84.89,6.84,171,0.22,60,0.07,60,23.2,20.02,22.79,1.32,0.72,0.04,14.69
2015,JetBlue Airlines,"267,835",11.51,17.86,-0.81,6.67,143.88,6.12,"4,276",1.59,730,0.27,730,25.75,32.5,18.17,1.95,16.73,0.19,23.96
2015,Southwest Airlines,"1,264,636",10.57,11.94,19.49,4.36,103.1,6.16,"16,044",1.26,"3,411",0.26,"3,411",19.55,24.5,16.19,2.3,7.04,0.05,26.66
2015,Spirit Airlines,"117,738",15.94,14.6,11.06,14.46,132.35,9.55,"2,007",1.7,182,0.15,182,26.96,33.74,13.77,1.28,27.47,0.14,20.51
2015,United Airlines,"517,051",14.42,17.4,18.02,5.4,164.85,8.5,"6,578",1.27,"1,388",0.26,"1,388",44.97,38.29,21.16,3.09,14.4,0.01,26.02
